event_name,event_date,time_scraped,event_venue
Jonathan Lee – 'Year of Songs' Tour (Malaysia),22/11/2025 20:00,21/11/2025 16:03,Axiata Arena Bukit Jalil
HATSUNE MIKU EXPO 2025 in Kuala Lumpur,22/11/2025 19:30,21/11/2025 16:03,Idea Live Arena
Alan Tam 'Classic Legend' Tour – Malaysia,29/11/2025 20:00,21/11/2025 16:03,Axiata Arena Bukit Jalil
Shila Amzah & Priscilla Abby Cultural Concert,29/11/2025 19:00,21/11/2025 16:03,Miri Indoor Stadium
Yue YunPeng & Sun Yue 2025 Crosstalk World Tour in Malaysia,4/12/2025 19:30,21/11/2025 16:03,"Mega Star Arena, Sungei Wang Plaza"
Leon Live 2025 in Malaysia,6/12/2025 20:00,21/11/2025 16:03,Axiata Arena Bukit Jalil
MAN WITH A MISSION 'HOWLING ACROSS THE WORLD 2025 - ASIA TOUR' in Kuala Lumpur,12/12/2025 20:00,21/11/2025 16:03,Zepp Kuala Lumpur
DIOR KAMPUNG GIRL First Solo Concert,13/12/2025 18:00,21/11/2025 16:03,"Arena of Stars, Resorts World Genting"
WENDY 1st WORLD TOUR <W:EA LIVE> IN KUALA LUMPUR,20/12/2025 19:30,21/11/2025 16:03,Zepp Kuala Lumpur
Demon Slayer: Kimetsu no Yaiba in Concert - Kuala Lumpur,27/12/2025 20:00,21/11/2025 16:03,Mega Star Arena
Firdaus 'Hello Again' World Tour – The Last Dance – Penang,3/1/2026 20:00,21/11/2025 16:03,"Setia Spice Arena, Penang"
"Accusefive 'Run, Run, Run!' Live Tour the World",7 Jan 2026 → 8 Jan 2026,21/11/2025 16:03,Zepp Kuala Lumpur
QWER 1ST WORLD TOUR <ROCKATION> in Kuala Lumpur,17/1/2026 20:00,21/11/2025 16:03,Zepp Kuala Lumpur
SUPER JUNIOR 20TH Anniversary TOUR <SUPER SHOW 10> IN KUALA LUMPUR,17/1/2026 17:00,21/11/2025 16:03,Axiata Arena Bukit Jalil
Miserable Faith 'The World Will Be Better²' 2026 Southeast Asia Tour – Kuala Lumpur,25/1/2026 19:00,21/11/2025 16:03,Zepp Kuala Lumpur
MAYDAY #5525 LIVE TOUR in Malaysia,31/1/2026 20:00,21/11/2025 16:03,National Stadium Bukit Jalil
NCT WISH 1st CONCERT 'INTO THE WISH: Our WISH' IN KUALA LUMPUR,6/2/2026 20:00,21/11/2025 16:03,Zepp Kuala Lumpur
TOMORROW X TOGETHER WORLD TOUR <ACT : TOMORROW> IN KUALA LUMPUR,14/2/2026 18:00,21/11/2025 16:03,Axiata Arena Bukit Jalil
Sam Lee 'One Day' World Tour – Malaysia,21/2/2026 20:00,21/11/2025 16:03,Axiata Arena Bukit Jalil
