event_name,event_date,time_scraped,event_venue,,,,,,,,
SYBER: BOXING DAY,26/12/2025 21:00,21/11/2025 16:03,"The Rechabite Hall, 224 William St, Northbridge, WA 6003",,,,,,,,
Higher Grnd pres. SUB FOCUS Circular Sound [PERTH],21/2/2026 16:00,21/11/2025 16:03,"Ozone Reserve, 1 Adelaide Terrace, East Perth, WA 6004, Australia",,,,,,,,
Lost Paradise 2025,28/12/2025 8:00,21/11/2025 16:03,"Glenworth Valley, 69 Cooks Rd, Glenworth Valley, NSW 2250",,,,,,,,
The Deen Saturdays - Humble x Booty,22/11/2025 20:00,21/11/2025 16:03,"The Aberdeen Hotel, 90 Aberdeen Street, Perth, WA 6003",,,,,,,,
Electric Cowboy Perth,12/12/2025 19:00,21/11/2025 16:03,"Aberdeen Hotel, 90 Aberdeen Street, Northbridge, WA 6003",,,,,,,,from megatix
YAYO Fridays Guestlist Registration,21/11/2025 22:00,21/11/2025 16:03,"The Edison, 393 Murray St, Perth, WA 6000",,,,,,,,
The Manor - Priority Entry,22/11/2025 23:00,21/11/2025 16:03,"The Manor, 663 Newcastle Street, Leederville, WA 6007",,,,,,,,
Mid-week Magic: Date Night at West Kitchen & Bar,25/11/2025 17:30,21/11/2025 16:03,"West Kitchen & Bar, Wonil Hotel Perth, 21 Hackett Drive, Crawley, WA 6009",,,,,,,,
Dreamin' of Nashville - The Country Cruise,2/3/2026 12:00,21/11/2025 16:03,"The Decoy, Paddle Steamer, 80 S Perth Esplanade, South Perth, WA 6151",,,,,,,,
HOUSE OF HONEYS LIVE SHOW 2025,26/11/2025 19:30,21/11/2025 16:03,"The Royale Theatre, 12 Lake St, Northbridge, WA 6003",,,,,,,,
Kalamunda Show 2026,10/4/2026 17:00,21/11/2025 16:03,"Kalamunda Show, 3 Recreation Road, Kalamunda, WA 6076",,,,,,,,
Santa's Christmas Village,6+B13:D30/12/2025  9:00:00 am,"Perth Convention & Exhibition Centre, 21 Mounts Bay Road, Perth WA 6000",Link,11/12/2025,,,,,,,
Eclipse Fridays pres. STAFFY,12/12/2025 21:00,"Eclipse, Brisbane, QLD",Link,11/12/2025,,,,,,,
Eclipse Brisbane Takeover feat. Offaiah + Kessin,12/12/2025 21:00,"Pulse Bar & Live Music Venue, Sunshine Coast, QLD",Link,11/12/2025,,,,,,,
Eclipse Saturdays pres. MASHD N KUTCHER,13/12/2025 21:00,"Eclipse, Brisbane, QLD",Link,11/12/2025,,,,,,,
ECLIPSE x WELLPLAY pres. MoBlack (Italy),14/12/2025 15:00,"Eclipse Brisbane, QLD",Link,11/12/2025,,,,,,,
"FILTH - PHASEONE, BEASTBOI & AVANCE",19/12/2025 21:00,"The Rechabite, 224 William St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
SUBMERGE pres. DELTA HEAVY (UK),19/12/2025 21:00,"Eclipse, Brisbane, QLD",Link,11/12/2025,,,,,,,
Eclipse Saturdays pres. OFFAIAH (UK),20/12/2025 21:00,"Eclipse, Brisbane, QLD",Link,11/12/2025,,,,,,,
BLACK:CELL pres. SANDY KLETZ,26/12/2025 21:00,"Eclipse Brisbane, QLD",Link,11/12/2025,,,,,,,
"ECLIPSE NYE feat. CHOOMBA, BELTERS ONLY + JXL",31/12/2025 21:00,"Eclipse, Brisbane, QLD",Link,11/12/2025,,,,,,,
NYE BUT GAY,31/12/2025 18:00,"Manning Bar Courtyard, Sydney, NSW",Link,11/12/2025,,,,,,,
BOATCHELLA 2026,31/12/2025 20:00,"Moonlight Express, Perth, WA",Link,11/12/2025,,,,,,,
Tyga in Phuket,3/1/2026 22:00,"Lotus Arena, Phuket",Link,11/12/2025,,,,,,,
Zomboy,24/1/2026 21:00,"Villa Nightclub, 187 Stirling St, Perth, WA 6000",Link,11/12/2025,,,,,,,
Higher Grnd Pres: ANDY C (3 hr set),24/1/2026 21:00,"Metro City Concert Club, 146 Roe St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
Unbounded 006 FT. RAF-SAPERRA,25/1/2026 20:00,"Butterfly73, 73 Francis St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
John 00 Fleming,6/2/2026 22:00,"Geisha Bar, 135a James St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
The 2026 West Australian Good Food Guide Awards Night,17/2/2026 17:00,"His Majesty's Theatre, 827 Hay St, Perth, WA 6000",Link,11/12/2025,,,,,,,
ESDEEKID 'THE REBEL TOUR',17/2/2026 20:00,"Metro City Concert Club, 146 Roe St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
PERTH MINIRAVES Golden Rave 2026,7/3/2026 11:00,"The Court Hotel, 50 Beaufort St, Perth, WA 6000",Link,11/12/2025,,,,,,,
RUGER IN PERTH,27/3/2026 22:00,"Metro City Concert Club, 146 Roe St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
MELBOURNE MINIRAVES Golden Rave 2026,28/3/2026 11:00,"Royal Melbourne Hotel, Melbourne, VIC",Link,11/12/2025,,,,,,,
Electric Island Perth: Saturday,18/4/2026 15:00,"Cottesloe Beach, WA",Link,11/12/2025,,,,,,,
Electric Island Perth: Sunday,19/4/2026 14:00,"Cottesloe Beach, WA",Link,11/12/2025,,,,,,,
Warren Zeiders,13/5/2026 19:00,"Metro City Concert Club, 146 Roe St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
Leon Thomas - Mutts Don't Heel Tour,20/6/2026 20:00,"Metro City Concert Club, 146 Roe St, Northbridge, WA 6003",Link,11/12/2025,,,,,,,
